Year,State,Count,Sum_Homicide offenses,Sum_Fraud offenses,Sum_Human trafficking,Sum_Counterfeiting,Sum_Embezzlement,Sum_Pornography,Political_Leaning,PolClass,PolClassBin,Population,Per Capita SAR,Per Capita Homicide,Per Capita Fraud,Per Capita Trafficking,Per Capita Counterfeit,Per Capita Embezzlement,Per Capita Pornography,
2017,Florida,166427,400,25,5,0,0,16,0,C,C,20963613,79.390000,1.908068,0.119254,0.023851,0.000000,0.000000,0.076323,
2017,Georgia,81312,231,5,0,1,0,5,0,C,C,10410330,78.110000,2.218950,0.048029,0.000000,0.009606,0.000000,0.048029,
2017,Hawaii,14737,6,0,0,2,0,1,1,L,L,1424393,103.460000,0.421232,0.000000,0.000000,0.140411,0.000000,0.070205,
2017,Idaho,6140,6,0,0,0,0,9,0,C,C,1717715,35.750000,0.349301,0.000000,0.000000,0.000000,0.000000,0.523952,
2017,Illinois,64162,226,35,2,35,0,4,1,L,L,12778828,50.210000,1.768550,0.273891,0.015651,0.273891,0.000000,0.031302,
2017,Indiana,33186,118,14,1,4,1,3,0,C,C,6658078,49.840000,1.772283,0.210271,0.015019,0.060077,0.015019,0.045058,
2017,Iowa,12927,10,1,0,1,0,1,0,C,C,3141550,41.150000,0.318314,0.031831,0.000000,0.031831,0.000000,0.031831,
2017,Kansas,14301,35,5,0,2,0,8,0,C,C,2908718,49.170000,1.203279,0.171897,0.000000,0.068759,0.000000,0.275035,
2017,Kentucky,18054,34,2,2,1,0,3,0,C,C,4452268,40.550000,0.763656,0.044921,0.044921,0.022460,0.000000,0.067381,
2017,Louisiana,35157,280,12,4,9,0,6,0,C,C,4670560,75.270000,5.994998,0.256929,0.085643,0.192696,0.000000,0.128464,
2017,Maine,8905,1,0,0,0,0,5,0.5,M,,1334612,66.720000,0.074928,0.000000,0.000000,0.000000,0.000000,0.374641,
2017,Maryland,47685,167,4,2,1,0,2,1,L,L,6023868,79.160000,2.772305,0.066403,0.033201,0.016601,0.000000,0.033201,
2017,Massachusetts,49614,33,2,0,2,0,5,1,L,L,6859789,72.330000,0.481064,0.029155,0.000000,0.029155,0.000000,0.072889,
2017,Michigan,46059,97,64,4,11,8,14,0,C,C,9973114,46.180000,0.972615,0.641725,0.040108,0.110297,0.080216,0.140377,
2017,Minnesota,36456,16,3,0,0,0,0,0,C,C,5566230,65.490000,0.287448,0.053896,0.000000,0.000000,0.000000,0.000000,
2017,Mississippi,22560,117,18,3,22,12,4,0,C,C,2988510,75.490000,3.914994,0.602307,0.100384,0.736153,0.401538,0.133846,
2017,Missouri,29723,24,2,1,3,0,4,0,C,C,6106670,48.670000,0.393013,0.032751,0.016376,0.049127,0.000000,0.065502,
2017,Montana,4259,5,1,0,6,1,3,0,C,C,1052482,40.470000,0.475068,0.095014,0.000000,0.570081,0.095014,0.285041,
2017,Nebraska,11372,17,19,1,15,1,4,0,C,C,1915947,59.350000,0.887290,0.991677,0.052194,0.782903,0.052194,0.208774,
2017,Nevada,42428,2,16,2,1,4,1,1,L,L,2969905,142.860000,0.067342,0.538738,0.067342,0.033671,0.134684,0.033671,
2017,New Hampshire,7176,0,3,0,4,0,0,0,C,C,1348787,53.200000,0.000000,0.222422,0.000000,0.296563,0.000000,0.000000,
2017,New Jersey,78200,120,33,3,2,0,2,1,L,L,8885525,88.010000,1.350511,0.371391,0.033763,0.022509,0.000000,0.022509,
2017,New Mexico,11849,22,7,0,0,0,4,1,L,L,2091784,56.650000,1.051734,0.334643,0.000000,0.000000,0.000000,0.191224,
2017,New York,229985,146,32,1,23,1,17,1,L,L,19589572,117.400000,0.745294,0.163352,0.005105,0.117409,0.005105,0.086781,
2017,North Carolina,94151,156,32,2,2,2,6,0,C,C,10268233,91.690000,1.519249,0.311641,0.019478,0.019478,0.019478,0.058433,
2017,North Dakota,4523,3,3,0,0,0,0,0,C,C,754942,59.910000,0.397382,0.397382,0.000000,0.000000,0.000000,0.000000,
2017,Ohio,109007,193,29,5,32,1,17,0,C,C,11659650,93.490000,1.655281,0.248721,0.042883,0.274451,0.008577,0.145802,
2017,Oklahoma,25454,70,8,3,2,2,5,0,C,C,3931316,64.750000,1.780574,0.203494,0.076310,0.050874,0.050874,0.127184,
2017,Oregon,22085,29,3,3,0,0,5,1,L,L,4143625,53.300000,0.699870,0.072400,0.072400,0.000000,0.000000,0.120667,
2017,Pennsylvania,77503,137,13,2,12,0,1,0,C,C,12787641,60.610000,1.071347,0.101661,0.015640,0.093841,0.000000,0.007820,
2017,Rhode Island,12147,4,4,1,0,1,1,1,L,L,1055673,115.060000,0.378905,0.378905,0.094726,0.000000,0.094726,0.094726,
2017,South Carolina,31120,273,4,6,0,0,3,0,C,C,5021268,61.980000,5.436874,0.079661,0.119492,0.000000,0.000000,0.059746,
2017,South Dakota,25532,4,1,1,2,0,5,0,C,C,872868,292.510000,0.458259,0.114565,0.114565,0.229130,0.000000,0.572824,
2017,Tennessee,39865,158,15,4,4,1,2,0,C,C,6708799,59.420000,2.355116,0.223587,0.059623,0.059623,0.014906,0.029812,
2017,Texas,201392,491,73,13,18,2,65,0,C,C,28295273,71.180000,1.735272,0.257994,0.045944,0.063615,0.007068,0.229720,
2017,Utah,43839,26,10,21,4,0,4,0,C,C,3101042,141.370000,0.838428,0.322472,0.677192,0.128989,0.000000,0.128989,
2017,Vermont,3083,1,3,0,0,0,0,1,L,L,624344,49.380000,0.160168,0.480504,0.000000,0.000000,0.000000,0.000000,
2017,Virginia,98220,119,10,3,4,1,37,0,C,C,8463587,116.050000,1.406023,0.118153,0.035446,0.047261,0.011815,0.437167,
2017,Washington,38784,57,1,0,3,0,2,1,L,L,7423362,52.250000,0.767846,0.013471,0.000000,0.040413,0.000000,0.026942,
2017,West Virginia,8512,32,2,0,0,0,0,0,C,C,1817004,46.850000,1.761141,0.110071,0.000000,0.000000,0.000000,0.000000,
2017,Wisconsin,20844,36,10,2,3,0,4,0,C,C,5790186,36.000000,0.621742,0.172706,0.034541,0.051812,0.000000,0.069082,
2017,Wyoming,2967,3,2,0,1,0,2,0,C,C,578931,51.250000,0.518196,0.345464,0.000000,0.172732,0.000000,0.345464,
2018,Alabama,33120,204,13,11,2,0,34,0,C,C,4887681,67.760000,4.173758,0.265975,0.225056,0.040919,0.000000,0.695626,
2018,Alaska,5505,5,0,3,0,0,4,0,C,C,735139,74.880000,0.680143,0.000000,0.408086,0.000000,0.000000,0.544115,
2018,Arizona,45856,85,13,2,5,0,15,0,C,C,7158024,64.060000,1.187479,0.181614,0.027941,0.069852,0.000000,0.209555,
2018,Arkansas,19663,46,1,1,7,0,0,0,C,C,3009733,65.330000,1.528375,0.033226,0.033226,0.232579,0.000000,0.000000,
2018,California,411745,466,93,10,23,4,29,1,L,L,39461588,104.340000,1.180895,0.235672,0.025341,0.058285,0.010136,0.073489,
2018,Colorado,75718,21,1,0,1,0,0,1,L,L,5691287,133.040000,0.368985,0.017571,0.000000,0.017571,0.000000,0.000000,
2018,Connecticut,28884,17,1,0,0,0,0,1,L,L,3571520,80.870000,0.475988,0.027999,0.000000,0.000000,0.000000,0.000000,
2018,Delaware,57475,13,1,0,3,0,0,1,L,L,965479,595.300000,1.346482,0.103576,0.000000,0.310727,0.000000,0.000000,
2018,Florida,178428,376,30,4,6,0,24,0,C,C,21244317,83.990000,1.769885,0.141214,0.018829,0.028243,0.000000,0.112971,
2018,Georgia,85286,203,9,2,2,0,13,0,C,C,10511131,81.140000,1.931286,0.085624,0.019027,0.019027,0.000000,0.123678,
2018,Hawaii,14853,11,3,0,3,0,0,1,L,L,1420593,104.550000,0.774325,0.211179,0.000000,0.211179,0.000000,0.000000,
2018,Idaho,6726,2,0,0,0,0,3,0,C,C,1750536,38.420000,0.114251,0.000000,0.000000,0.000000,0.000000,0.171376,
2018,Illinois,66839,228,30,3,22,0,12,1,L,L,12723071,52.530000,1.792020,0.235792,0.023579,0.172914,0.000000,0.094317,
2018,Indiana,35980,122,8,3,5,0,5,0,C,C,6695497,53.740000,1.822120,0.119483,0.044806,0.074677,0.000000,0.074677,
2018,Iowa,13803,8,0,0,1,0,1,0,C,C,3148618,43.840000,0.254080,0.000000,0.000000,0.031760,0.000000,0.031760,
2018,Kansas,14127,27,4,1,0,0,3,0,C,C,2911359,48.520000,0.927402,0.137393,0.034348,0.000000,0.000000,0.103045,
2018,Kentucky,19786,28,4,0,5,1,4,0,C,C,4461153,44.350000,0.627640,0.089663,0.000000,0.112079,0.022416,0.089663,
